"","pouch_snail","gilled_snail","orb_snail","pill_fingernail_clam","water_snipe_fly_larva","flatworm","midge_larva","crayfish","amphipod","isopod_aquSowbug","mayfly_larva","annelids","sitenames"
"a_riverbank","7","6","2","8","0","2","31","18","1430","23","6","0","a_riverbank"
"b_channel_wildrice","7","7","6","2","1","4","128","14","795","8","2","5","b_channel_wildrice"
"c_wildricebed_left_dock","2","9","2","204","3","0","44","0","214","2","0","11","c_wildricebed_left_dock"
"d_wildricebed_right_dock","25","51","16","51","57","145","8","0","409","7","2","57","d_wildricebed_right_dock"
"e_bank_near_honeysuckle","23","36","4","117","9","23","47","6","877","26","5","1","e_bank_near_honeysuckle"
"f_bank_near_tallgrass","15","6","13","1","0","0","76","11","1011","4","20","0","f_bank_near_tallgrass"
"g_bank_near_grassmud","18","16","33","15","6","1","52","14","1783","12","11","0","g_bank_near_grassmud"
"h_upriver_wildricebed","2","4","3","13","1","0","55","24","1787","1","15","0","h_upriver_wildricebed"
"i_riverbank_field","5","24","16","7","0","0","89","10","1664","0","12","0","i_riverbank_field"
"j_wildricebed_bridge","19","47","45","47","3","4","37","12","1690","1","13","14","j_wildricebed_bridge"
