Richness 	Enviro	Month	Site	Replicate	Mnomen
1.704603162	a	June	1	12	N
2.05174418	a	June	1	14	N
1.857184357	a	June	1	6	N
2.346035321	b	June	2	5	Y
1.396136246	b	June	2	13	Y
2.194562549	b	June	2	11	Y
1.252015078	c	June	3	2	Y
1.389696935	c	June 	3	4	Y
2.048004436	c	June 	3	15	Y
2.79768256	d	June 	4	23	Y
2.275598067	d	June 	4	27	Y
2.126980685	d	June 	4	24	Y
2.136458793	e	June 	5	20	N
1.921596301	e	June 	5	22	N
2.382392877	e	June 	5	21	N
1.140101314	f	June 	6	26	N
1.196719325	f	June 	6	28	N
1.846346865	f	June 	6	30	N
1.062803372	g	June	7	25	N
2.020708263	g	June	7	29	N
1.262358161	g	June	7	8	N
1.886183414	h	June	8	1	Y
1.481397101	h	June	8	10	Y
1.347960003	h	June 	8	16	Y
0.990624725	i	June	9	9	N
1.193222213	i	June 	9	18	N
1.165911337	i	June 	9	19	N
1.029345682	j	June	10	17	Y
1.369712519	j	June 	10	7	Y
1.214183515	j	June 	10	3	Y
2.232480952	j	August	10	1	Y
1.756452629	j	August	10	2	Y
0.492688108	h	August	8	3	Y
0.979250567	i	August	9	4	N
1.136769545	g	August	7	6	N
0.655779133	i	August	9	7	N
1.377376677	h	August	8	8	Y
0.970546359	f	August	6	10	N
1.484871022	c	August	3	13	Y
1.259353244	g	August	7	14	N
1.669041003	c	August	3	15	Y
1.534638382	f	August	6	16	N
0.857736087	i	August	9	17	N
1.32128685	g	August	7	18	N
1.211494353	d	August	4	19	Y
0.415611675	a	August	1	20	N
0.736737035	a	August	1	C	N
2.037739631	e	August	5	D	N
1.183687787	d	August	4	E	Y
1.207288813	e	August	5	G	N
0.183164088	a	October 	1	17	N
1.331432461	a	October 	1	15	N
0.912819646	b	October 	2	13	Y
1.057666557	b	October 	2	16	Y
2.32860877	d	October 	4	22	Y
1.837544789	d	October 	4	24	Y
1.773497931	d	October 	4	7	Y
1.182225519	e	October 	5	5	N
1.638430608	e	October 	5	10	N
1.764752102	e	October 	5	23	N
0.853543369	f	October 	6	4	N
1.336350812	g	October 	7	25	N
1.789686094	g	October 	7	2	N
1.190934785	j	October 	10	9	Y
1.891942388	j	October 	10	6	Y
0.877640504	i	August	9	12	N
0.513898342	b	August	2	11	Y
0.670041171	d	August	4	F	Y
1.313834955	f	August	6	9	N
0.172172085	g	August	7	5	N
					
					
					
					
					
					
					
					
