pouch_snail	gilled_snail	orb_snail 	limpet	pill_fingernail_clam	water_snipe_fly_larva	horsefly_larva	cranefly_larva	leech	flatworm	midge_larva	nematode	cyclops	seedandclam_shrimp	water_flea	crayfish	amphipod	isopod_aquSowbug	watermite	fishing_spider	riffle_beetle	water_scavenger_beetle	predaceous_diving_beetle	crawling_water_beetle	rifflebeetle_larva	caddisfly_larva	caddisfly_larva_stone	stonefly_larva	mayfly_larva	damselfly_larva	pupa	annelids	fly_larva	insect	Bristleworm	Alderfly_larva	Dragonfly_larva	Rat_tailed_mag_larva
2	1	0	0	0	0	0	0	2	1	5	0	1	2	0	7	326	3	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0
1	2	0	0	6	0	0	0	0	0	9	0	1	5	0	4	162	16	0	0	0	0	0	0	4	2	0	0	1	0	0	0	0	0	0	0	0	0
1	3	0	0	2	0	0	0	2	0	16	0	0	1	0	7	179	4	0	0	0	0	0	0	1	0	0	0	2	0	0	0	0	0	0	0	0	0
1	2	0	0	1	0	0	0	0	2	26	0	2	3	0	12	198	1	1	0	0	0	0	0	0	0	0	0	0	1	1	4	0	0	0	0	0	0
1	4	0	0	0	0	0	0	0	0	51	0	3	0	0	0	240	5	0	0	0	0	0	0	0	0	2	0	1	0	1	0	0	0	0	0	0	0
2	1	4	0	1	1	0	0	0	0	48	0	2	0	0	2	171	2	0	0	0	0	0	0	0	0	1	0	1	0	0	1	0	0	0	0	0	0
0	2	0	0	55	1	0	0	1	0	5	0	0	0	0	0	199	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	1	0	0	0	0	0
0	2	0	0	55	0	0	0	8	0	4	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0
1	5	1	0	94	1	0	0	11	0	12	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	3	1	0	0	0	0	0
0	2	1	0	14	21	0	0	1	0	0	0	0	1	0	0	0	0	0	4	0	1	0	0	0	0	0	0	0	0	2	2	1	1	0	0	0	0
0	0	1	0	11	7	0	0	2	0	2	0	0	0	0	0	2	1	0	3	0	0	0	1	0	0	1	0	0	0	0	50	0	0	0	0	0	0
0	0	1	0	5	29	0	0	0	0	1	0	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	2	1	0	1	0	0	0	0
3	10	0	0	10	8	1	0	1	2	5	0	1	0	0	4	215	14	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
4	5	0	0	68	0	0	0	9	0	5	0	1	1	0	1	83	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
6	16	2	0	32	0	0	0	4	1	26	0	1	0	0	0	60	2	0	0	0	0	0	0	0	0	0	0	1	0	2	1	0	0	0	0	0	0
3	0	0	0	0	0	0	0	0	0	12	0	0	0	0	2	169	1	0	0	0	0	0	0	0	0	0	0	5	1	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	29	0	0	0	0	4	309	1	0	0	0	0	0	0	0	1	1	0	1	0	0	0	0	1	0	0	0	0
0	0	3	0	1	0	0	0	0	0	27	0	1	0	0	5	171	2	0	0	0	0	0	0	1	1	0	0	12	1	0	0	0	0	0	0	0	0
0	0	4	0	0	0	0	0	2	0	14	0	0	0	0	8	248	3	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0
0	3	0	0	3	0	0	0	3	0	9	0	0	0	0	6	109	2	0	0	0	0	0	0	1	0	1	0	3	1	0	0	0	0	0	0	0	0
1	4	2	0	2	0	0	0	0	0	14	0	1	0	0	0	229	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	1	2	0	9	0	0	0	1	0	5	0	0	0	0	7	308	1	0	0	0	0	0	0	1	0	0	0	2	3	0	0	0	0	0	0	0	0
0	3	0	0	3	0	0	0	2	0	21	0	0	0	0	2	396	0	0	0	0	0	0	0	3	1	0	0	2	0	2	0	0	0	0	0	0	0
0	0	1	0	1	0	0	0	0	0	13	0	0	0	0	15	342	0	0	0	0	0	0	0	1	0	0	0	3	1	1	0	0	0	0	0	0	0
0	4	0	0	0	0	0	0	0	0	8	0	0	0	0	2	408	0	0	0	0	0	0	0	0	2	0	1	2	0	0	0	0	0	0	0	0	0
1	9	1	0	0	0	0	0	0	0	21	0	0	0	0	3	310	0	0	0	0	0	0	0	0	0	0	3	5	0	0	0	0	0	0	0	0	0
